Episode 390/500, total reward: 57.60000000000004
Episode 391/500, total reward: 13.668531468531324
Episode 392/500, total reward: 29.28301886792437
Episode 393/500, total reward: 27.031578947368153
Episode 394/500, total reward: 10.446715328466993
Episode 395/500, total reward: 29.528434504792195
Episode 396/500, total reward: 19.17921146953374
Episode 397/500, total reward: 19.332394366196997
Episode 398/500, total reward: 75.71654676259082
Episode 399/500, total reward: 46.5999999999998
Episode 400/500, total reward: 5.96216216216199
Episode 401/500, total reward: -0.1526315789473284
Episode 402/500, total reward: 12.123322683706023
Episode 403/500, total reward: 86.01188118811966
Episode 404/500, total reward: 24.637113402061694
Episode 405/500, total reward: 58.47422680412362
Episode 406/500, total reward: -0.10780141843970859
Episode 407/500, total reward: 29.379865771811893
Episode 408/500, total reward: 19.47826086956494
Episode 409/500, total reward: 7.876595744680866
Episode 410/500, total reward: 38.940350877192806
Episode 411/500, total reward: 3.006802721088479
Episode 412/500, total reward: 22.028915662650157
Episode 413/500, total reward: 97.15308641975439
Episode 414/500, total reward: 7.536395759717314
Episode 415/500, total reward: 20.85507246376791
Episode 416/500, total reward: 23.73509933774818
Episode 417/500, total reward: 12.066666666666602
Episode 418/500, total reward: 10.233070866141539
Episode 419/500, total reward: 17.42499999999976
Episode 420/500, total reward: 21.351702786377558
Episode 421/500, total reward: 135.63211678832255
Episode 422/500, total reward: 55.81886792452843
Episode 423/500, total reward: -0.15774647887323093
Episode 424/500, total reward: 49.57523219814189
Episode 425/500, total reward: 16.64320557491269
Episode 426/500, total reward: 51.4740740740738
Episode 427/500, total reward: 26.741516245487105
Episode 428/500, total reward: 126.58367346938886
Episode 429/500, total reward: 19.854889589905184
Episode 430/500, total reward: -0.04836601307220542
Episode 431/500, total reward: -0.07799227799226771
Episode 432/500, total reward: 92.25442176870854
Episode 433/500, total reward: 20.80779220779198
Episode 434/500, total reward: 41.84057971014461
Episode 435/500, total reward: 23.39411764705855
Episode 436/500, total reward: 40.45454545454514
Episode 437/500, total reward: 12.914285714285585
Episode 438/500, total reward: 117.23174603174691
Episode 439/500, total reward: 112.53511705685838
Episode 440/500, total reward: -0.07399267399266507
Episode 441/500, total reward: 26.473539518900147
Episode 442/500, total reward: 26.928434504792158
Episode 443/500, total reward: 14.169230769230639
Episode 444/500, total reward: 48.15520504731836
Episode 445/500, total reward: -0.05429553264601705
Episode 446/500, total reward: 9.02702702702696
Episode 447/500, total reward: -0.18333333333331195
Episode 448/500, total reward: 4.424161073825218
Episode 449/500, total reward: 6.7204819277108
Episode 450/500, total reward: 62.71206225680981
Episode 451/500, total reward: 82.8982456140359
Episode 452/500, total reward: 19.2028268551235
Episode 453/500, total reward: 102.02061855670192
Episode 454/500, total reward: 35.877813504822925
Episode 455/500, total reward: 33.21618122977324
Episode 456/500, total reward: 28.43388704318913
Episode 457/500, total reward: 112.2862385321119
Episode 458/500, total reward: 8.76902356902355
Episode 459/500, total reward: 107.97647058823625
Episode 460/500, total reward: 30.074708171205955
Episode 461/500, total reward: 82.0825214899722
Episode 462/500, total reward: -0.02105263157894141
Episode 463/500, total reward: 8.478369905956114
Episode 464/500, total reward: 12.713677811550122
Episode 465/500, total reward: 22.139275766016407
Episode 466/500, total reward: 78.35438596491305
Episode 467/500, total reward: 66.8767371601213
Episode 468/500, total reward: -0.07407407407408084
Episode 469/500, total reward: 148.8131868131875
Episode 470/500, total reward: 119.30534351145172
Episode 471/500, total reward: 22.565467625899096
Episode 472/500, total reward: 52.58585209003191
Episode 473/500, total reward: 10.471197411003011
Episode 474/500, total reward: 118.52014652014759
Episode 475/500, total reward: -0.031541218637984175
Episode 476/500, total reward: 6.001324503311203
Episode 477/500, total reward: -0.09900990099008067
Episode 478/500, total reward: 15.811846689895187
Episode 479/500, total reward: 27.97986577181193
Episode 480/500, total reward: 22.401273885350136
Episode 481/500, total reward: 25.71861198738153
Episode 482/500, total reward: -0.15068493150684206
Episode 483/500, total reward: 24.828571428571223
Episode 484/500, total reward: 87.54029850746355
Episode 485/500, total reward: 28.9090909090907
Episode 486/500, total reward: 27.9480519480517
Episode 487/500, total reward: 32.75555555555534
Episode 488/500, total reward: 24.782698961937548
Episode 489/500, total reward: 126.7072243346023
Episode 490/500, total reward: 100.92500000000078
Episode 491/500, total reward: 37.56494845360788
Episode 492/500, total reward: -0.10283400809715426
Episode 493/500, total reward: 21.196491228070027
Episode 494/500, total reward: 57.89105691056987
Episode 495/500, total reward: 26.379865771811886
Episode 496/500, total reward: 43.51612903225785
Episode 497/500, total reward: -0.12714776632301705
Episode 498/500, total reward: 24.97464788732372
Episode 499/500, total reward: 20.527526132404034
Episode 500/500, total reward: 23.318918918918783
